,Ácido Acetilsalicílico,Ácido Ectacrínico,Ácido Mefenâmico,Álcool (bebida),Analgésicos Narcóticos,Anfetaminas,Antiácidos,Antibióticos (Largo Espectro),Anticoagulantes Orais,Anticolinérgicos,Antidepressivos Tricíclicos,Anti-histamínicos,Barbitúricos,Benzodiazepinas (Diazepam),Biguanidas (Fenformina),Bloqueadores adrenérgicos beta,Bloqueantes Neuromusculares,Carbamazepina,Cefaloridina (Ceporan),Clofibrato,Clonidina,Cloranfenicol,Colestiramina,Contraceptivos Orais,Corticosteróides,Dicloralfenazona,Digoxina,Esteróides Anabólicos,Fenfluramina,Fenilbutazona,Fenitoína,Fenotiazinas (Clorpromazina),Furosemida,Glutetimida,Griseofulvina,Guanetidina,Haloperidol,Hidrato de Cloral,Indometacina,iMAOs,Insulinas,Isoniazida,Levodopa,Meprobamato,Metildopa,Metotrexato,Metronidazol,Naproxeno,Piridoxina,Procainamida,Quinidina,Rifampicina,Simpaticomiméticos (A. Directa),Simpaticomiméticos (A. Indirecta),Sulfimpirazona,Sulfonamidas,Sulfonilinas (Clorpropamida),Tetraciclinas,Tiazidas,"Tiramina (Alimentos, Etc.)",Tiroxina
Cloranfenicol,6,3,2,1,4,3,4,3,3,2,6,4,2,3,3,6,5,4,3,1,6,0,2,2,4,6,1,4,3,5,6,2,3,5,3,2,3,2,5,6,2,5,3,2,5,3,6,3,5,1,5,2,5,3,2,5,4,2,3,4,1
Colestiramina,4,1,1,3,4,2,6,1,5,6,3,2,2,6,6,6,2,3,4,5,4,6,0,1,1,3,4,1,2,4,2,6,5,3,4,5,3,3,3,4,6,2,2,4,6,5,5,4,2,3,6,6,5,6,2,1,1,4,6,6,5
Contraceptivos Orais,3,5,5,1,4,1,4,5,6,1,5,5,5,3,1,4,1,6,1,3,2,5,3,0,6,1,2,3,4,4,6,4,2,3,5,1,2,5,5,5,1,4,1,3,3,1,6,4,4,4,4,1,3,5,1,6,5,6,1,6,1
Corticosteróides,3,1,6,2,2,6,3,1,5,2,2,5,1,4,2,2,3,5,6,6,3,5,5,2,0,2,1,3,1,5,3,5,1,3,5,1,5,1,2,2,4,4,6,6,4,4,2,2,3,1,4,2,2,3,2,3,6,6,3,3,1
Dicloralfenazona,3,5,4,6,1,2,5,1,2,2,2,4,3,5,4,4,5,6,4,6,3,1,2,1,6,0,6,1,4,2,6,6,5,3,1,1,3,5,1,3,5,6,3,6,4,2,3,1,2,4,6,2,1,4,5,4,1,3,5,4,6
Digoxina,4,5,4,5,5,6,1,5,1,1,1,2,2,6,3,2,6,6,2,2,6,3,5,5,3,4,0,3,3,4,1,2,4,6,6,2,2,5,3,4,6,6,3,5,6,5,6,5,5,2,6,3,2,5,1,2,6,5,4,4,4
Esteróides Anabólicos,6,5,1,2,1,1,3,2,3,2,1,2,3,6,5,4,2,6,6,4,1,6,1,2,4,1,2,0,3,5,3,1,1,3,2,2,5,4,5,4,1,3,1,5,2,3,2,3,4,4,1,3,3,4,6,5,1,4,3,5,3
Fenfluramina,3,1,2,6,1,3,3,2,1,5,4,3,4,5,6,3,1,4,1,3,6,6,6,2,5,4,4,2,0,5,5,3,1,6,4,4,1,3,1,2,2,6,6,6,1,1,2,5,3,2,1,1,3,1,6,6,1,6,4,5,2
Fenilbutazona,5,5,5,4,1,6,5,4,4,3,6,6,2,5,2,1,2,1,3,3,2,1,4,3,5,6,5,3,4,0,4,5,2,1,5,1,4,4,6,5,3,1,2,1,3,5,2,4,1,3,3,3,1,1,4,2,5,6,1,1,4
Fenitoína,5,2,2,4,5,1,4,1,4,3,6,1,4,6,1,6,3,3,5,5,5,2,5,4,6,3,6,2,2,6,0,1,5,1,4,2,1,6,2,4,1,4,1,6,1,6,3,1,4,4,3,2,1,4,1,2,6,3,3,4,2
Fenotiazinas (Clorpromazina),3,2,3,4,1,5,1,5,1,6,5,2,2,2,4,3,6,2,1,6,2,2,1,4,6,2,5,1,3,3,2,0,4,1,1,4,5,5,2,3,1,5,2,4,5,6,3,4,5,6,2,2,4,4,5,1,4,4,1,3,3
Furosemida,5,2,1,6,4,4,1,2,3,3,3,1,5,5,3,6,2,2,1,4,2,2,4,4,2,4,6,6,4,1,2,2,0,2,4,5,5,1,3,5,5,5,4,1,4,4,2,6,3,2,2,2,4,2,2,2,1,2,5,2,5
Glutetimida,6,2,3,5,3,6,1,6,4,1,3,5,5,5,1,2,1,3,6,6,2,4,4,2,1,2,6,6,4,1,5,5,4,0,2,3,6,2,6,1,6,5,6,2,4,5,6,6,4,2,2,5,4,5,4,2,2,2,5,1,3
Griseofulvina,1,6,4,4,2,6,1,1,4,6,4,3,5,5,1,1,4,4,1,4,1,1,6,3,1,6,2,6,6,3,4,2,5,1,0,5,4,1,2,3,2,6,2,4,1,2,6,1,3,5,3,3,1,2,1,6,6,2,5,1,5
Guanetidina,3,6,3,2,5,4,3,5,6,4,3,5,4,3,4,2,3,4,6,6,3,4,6,4,5,1,4,2,3,6,4,1,4,1,3,0,6,2,6,1,4,1,4,1,4,4,3,1,5,3,1,1,3,6,5,3,3,6,5,5,3
Haloperidol,4,3,3,3,1,4,3,4,2,3,1,5,1,1,1,5,6,5,6,3,6,5,3,5,1,6,1,4,6,1,6,5,3,4,1,2,0,2,1,3,1,2,1,4,4,1,3,3,6,5,4,1,5,4,4,6,3,5,1,4,6
Hidrato de Cloral,3,1,5,5,2,3,2,3,1,6,2,2,5,6,3,4,2,3,3,6,2,3,4,4,4,4,6,1,1,5,1,5,4,2,2,4,2,0,4,5,1,2,1,1,5,3,1,1,5,3,3,4,4,1,2,3,5,2,6,4,6
Indometacina,4,2,4,2,5,3,3,5,5,1,6,4,5,2,1,6,1,3,2,6,6,4,6,2,2,4,2,6,6,6,2,3,4,4,1,4,5,3,0,6,3,5,2,2,2,3,2,3,2,2,3,4,2,5,3,6,4,3,5,5,4
iMAOs,1,1,5,4,4,3,3,2,6,5,1,5,5,1,6,5,3,3,1,5,6,6,6,5,2,6,2,3,2,4,5,1,6,4,1,4,6,4,5,0,3,5,6,6,5,3,5,1,6,6,5,3,4,3,3,1,6,3,2,4,3
Insulinas,1,2,3,6,5,2,6,5,2,1,2,4,6,6,6,6,3,2,6,6,3,6,1,5,4,5,4,5,4,4,6,1,5,1,6,5,3,1,1,4,0,5,2,3,3,4,6,3,2,2,5,5,3,1,6,3,2,3,6,2,5
Isoniazida,5,5,2,1,6,6,2,4,3,3,3,5,6,5,4,2,3,4,5,1,3,4,5,4,2,6,4,6,3,4,5,1,2,1,3,4,6,1,1,2,6,0,3,4,5,6,1,6,4,3,1,3,1,2,6,2,3,2,6,1,2
Levodopa,6,5,5,6,6,3,4,5,2,6,1,2,1,6,5,4,4,5,1,1,2,6,6,1,4,3,4,1,4,6,5,1,5,5,1,6,2,3,6,1,5,6,0,1,2,3,3,1,3,6,5,5,1,2,2,3,1,3,4,1,2
Meprobamato,1,1,4,5,6,5,5,6,5,6,3,1,1,1,3,3,5,2,3,6,6,2,4,5,3,5,4,4,5,3,1,1,4,5,3,1,1,5,2,2,6,6,2,0,2,6,5,3,5,5,6,5,2,2,4,4,3,1,2,3,2
Metildopa,6,1,6,3,6,4,5,1,1,6,6,1,4,5,2,3,5,4,6,5,2,2,2,6,4,4,3,2,5,2,6,2,4,3,6,4,6,6,5,4,4,2,6,1,0,5,1,2,1,3,1,2,2,1,6,1,6,2,2,3,4
Metotrexato,4,6,2,2,2,2,4,1,6,2,1,4,2,4,2,3,5,6,4,2,6,4,1,6,3,5,1,5,2,1,6,3,6,4,6,6,4,1,4,5,2,4,2,4,4,0,6,4,5,3,4,1,3,2,2,1,1,3,6,2,5
Metronidazol,4,3,3,6,4,1,3,4,5,6,4,4,2,5,5,3,6,3,5,5,3,2,5,2,1,4,4,6,4,3,1,1,3,3,4,1,1,2,3,6,1,5,1,5,1,4,0,2,2,4,6,1,2,3,2,5,5,4,4,5,1
Naproxeno,1,4,4,3,5,3,2,2,6,2,4,5,3,3,1,3,2,1,2,2,1,3,6,6,4,1,3,4,4,4,2,3,4,6,5,3,3,2,2,2,4,3,1,1,3,6,4,0,1,4,2,5,6,2,4,2,2,4,2,2,2
Piridoxina,4,6,2,3,6,4,6,6,3,6,3,2,2,5,3,2,4,5,1,4,2,4,6,2,6,3,5,2,3,1,5,1,4,2,3,4,1,3,3,3,4,1,6,2,3,5,2,2,0,5,6,3,4,3,5,2,6,2,5,5,5
Procainamida,3,3,4,2,3,2,1,4,2,5,4,5,5,2,6,2,4,6,1,5,6,3,5,5,3,2,3,3,1,6,4,1,4,1,3,3,1,3,2,1,1,5,5,4,4,4,5,2,4,0,3,1,1,2,4,2,3,5,6,1,3
Quinidina,5,4,3,4,4,1,6,6,5,6,3,3,4,3,3,6,1,6,3,2,6,5,3,3,3,5,1,3,4,3,3,5,1,2,2,2,4,5,4,3,1,5,4,2,6,5,2,6,5,4,0,4,2,6,6,6,2,6,1,5,3
Rifampicina,1,1,5,3,5,2,4,4,2,1,2,6,3,6,2,4,6,2,5,3,1,1,5,3,6,4,4,1,1,5,1,1,5,3,2,5,2,1,3,6,1,5,1,4,6,4,2,6,1,6,4,0,6,5,3,5,4,1,1,2,6
Simpaticomiméticos (A. Directa),3,4,1,1,2,6,3,6,1,3,1,2,5,6,2,2,2,2,1,6,5,2,5,2,1,2,6,3,3,4,2,3,4,5,4,1,2,1,5,5,5,5,4,6,3,1,5,2,5,3,6,5,0,1,2,6,5,5,1,5,5
Simpaticomiméticos (A. Indirecta),5,1,3,3,2,4,3,5,4,1,6,1,4,3,5,4,2,4,2,5,5,6,4,2,6,3,3,1,3,4,4,5,1,1,1,2,6,1,4,5,2,1,5,6,5,2,4,1,3,6,3,6,5,0,2,4,1,6,1,6,3
Sulfimpirazona,3,5,6,1,1,3,6,4,3,1,1,2,4,5,3,6,2,1,3,1,1,4,1,1,4,6,6,4,3,5,3,2,4,2,5,6,3,2,1,6,2,3,2,4,2,3,1,5,5,4,5,1,1,3,0,2,4,3,6,1,4
Sulfonamidas,2,5,5,1,4,6,3,5,3,5,5,4,3,6,5,1,2,1,3,2,6,1,1,1,2,5,5,6,2,5,6,2,4,1,1,6,3,1,3,2,1,4,5,5,2,6,5,5,6,3,6,3,6,5,2,0,5,2,4,2,6
Sulfonilinas (Clorpropamida),5,1,3,3,4,4,4,1,5,3,6,3,2,1,3,6,1,5,6,2,5,4,6,5,2,3,5,3,2,3,4,2,6,3,2,6,5,5,6,2,3,2,3,3,2,5,5,1,3,6,4,4,3,5,2,4,0,5,1,3,4
Tetraciclinas,2,5,4,2,2,1,1,1,4,1,1,1,2,6,6,3,2,4,2,5,5,2,4,4,6,1,5,5,1,3,1,1,5,5,4,4,3,5,2,6,1,2,6,4,3,4,2,4,4,6,1,4,3,5,6,3,2,0,4,1,5
Tiazidas,6,3,2,6,4,2,1,6,2,5,5,1,2,1,6,1,1,6,1,3,2,3,6,6,4,3,2,3,2,6,3,2,4,4,4,6,5,6,2,3,3,5,1,5,3,1,3,1,3,1,5,5,6,6,6,4,5,5,0,1,6
"Tiramina (Alimentos, Etc.)",5,1,2,5,2,3,4,3,3,6,3,2,6,5,6,4,5,3,1,1,6,4,4,3,1,1,1,6,6,2,2,5,4,3,4,6,2,4,6,1,5,4,2,2,1,4,5,3,6,2,3,5,5,3,2,5,3,6,5,0,4
Tiroxina,5,2,3,1,4,3,3,5,4,6,3,4,5,6,2,6,5,6,4,3,6,1,5,2,2,6,1,2,3,1,6,1,4,5,5,1,3,2,3,4,1,2,6,2,2,5,3,6,3,2,1,6,3,1,2,5,5,2,6,2,0
